
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-18 15:26:32.0637920 1613661992.063791990 1613661992.069246054 -0.005454063, ltcy: 0.09 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:33.0638248 1613661993.063824892 1613661993.069404602 -0.005579710, ltcy: 0.09 us, exec: 0.05 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:34.0638817 1613661994.063881874 1613661994.069587231 -0.005705595, ltcy: 0.20 us, exec: 0.13 us, limit: 0.07 us, leap: 00
GNS181PEX: 2021-02-18 15:26:35.0640008 1613661995.064000845 1613661995.069832087 -0.005831242, ltcy: 0.09 us, exec: 0.04 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:36.0640468 1613661996.064046860 1613661996.070003986 -0.005957127, ltcy: 0.09 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:37.0641212 1613661997.064121246 1613661997.070204258 -0.006083012, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:38.0641971 1613661998.064197063 1613661998.070405722 -0.006208658, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:39.0642869 1613661999.064286947 1613661999.070621252 -0.006334305, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:40.0643943 1613662000.064394236 1613662000.070854425 -0.006460190, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:41.0644795 1613662001.064479589 1613662001.071065426 -0.006586075, ltcy: 0.15 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:42.0646263 1613662002.064626455 1613662002.071338177 -0.006711721, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:43.0646799 1613662003.064679861 1613662003.071517467 -0.006837606, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:44.0647925 1613662004.064792633 1613662004.071755886 -0.006963253, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:45.0648877 1613662005.064887762 1613662005.071976900 -0.007089138, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:46.0650409 1613662006.065040827 1613662006.072255850 -0.007215023, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
