
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-22 07:31:16.0640342 1613979076.064034224 1613979076.063438892 +0.000595093, ltcy: 0.15 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:17.0643066 1613979077.064306736 1613979077.063710690 +0.000596046, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:18.0645069 1613979078.064507008 1613979078.063910484 +0.000596285, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:19.0647114 1613979079.064711571 1613979079.064114571 +0.000597000, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:20.0648984 1613979080.064898491 1613979080.064301014 +0.000597477, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:21.0650969 1613979081.065096855 1613979081.064498663 +0.000597954, ltcy: 0.21 us, exec: 0.14 us, limit: 0.06 us, leap: 00
GNS181PEX: 2021-02-22 07:31:22.0653325 1613979082.065332651 1613979082.064733982 +0.000598669, ltcy: 0.10 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:23.0655192 1613979083.065519094 1613979083.064919949 +0.000598907, ltcy: 0.13 us, exec: 0.08 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:24.0657036 1613979084.065703630 1613979084.065103769 +0.000599623, ltcy: 0.12 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:25.0659885 1613979085.065988541 1613979085.065387964 +0.000600100, ltcy: 0.36 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:26.0662264 1613979086.066226482 1613979086.065625191 +0.000601053, ltcy: 0.26 us, exec: 0.19 us, limit: 0.07 us, leap: 00
