
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-16 20:13:48.9991767 1613506428.999176741 1613506428.999176979 -0.000000238, ltcy: 0.12 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:49.9994055 1613506429.999405622 1613506429.999405384 +0.000000000, ltcy: 0.29 us, exec: 0.20 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:50.9997510 1613506430.999751091 1613506430.999750853 +0.000000000, ltcy: 0.29 us, exec: 0.19 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:52.0000618 1613506432.000061989 1613506432.000062227 -0.000000477, ltcy: 0.12 us, exec: 0.04 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:53.0003105 1613506433.000310659 1613506433.000310898 -0.000000238, ltcy: 0.09 us, exec: 0.03 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:54.0004683 1613506434.000468254 1613506434.000468731 -0.000000715, ltcy: 0.14 us, exec: 0.06 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:55.0007027 1613506435.000702858 1613506435.000703096 -0.000000477, ltcy: 0.13 us, exec: 0.03 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:56.0009197 1613506436.000919819 1613506436.000919819 -0.000000238, ltcy: 0.26 us, exec: 0.15 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:57.0012418 1613506437.001241922 1613506437.001241922 -0.000000238, ltcy: 0.29 us, exec: 0.16 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:58.0017286 1613506438.001728773 1613506438.001728773 -0.000000238, ltcy: 0.26 us, exec: 0.15 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:59.0020518 1613506439.002051830 1613506439.002051830 -0.000000238, ltcy: 0.26 us, exec: 0.14 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:00.0022939 1613506440.002294064 1613506440.002294302 -0.000000238, ltcy: 0.10 us, exec: 0.03 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:01.0024737 1613506441.002473593 1613506441.002474070 -0.000000477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:02.0029091 1613506442.002909184 1613506442.002909184 -0.000000238, ltcy: 0.27 us, exec: 0.19 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-16 20:14:03.0032212 1613506443.003221273 1613506443.003221273 -0.000000238, ltcy: 0.26 us, exec: 0.21 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:04.0035280 1613506444.003528118 1613506444.003527880 +0.000000000, ltcy: 0.26 us, exec: 0.21 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-16 20:14:05.0038548 1613506445.003854752 1613506445.003854752 -0.000000238, ltcy: 0.26 us, exec: 0.21 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:06.0041008 1613506446.004100800 1613506446.004101276 -0.000000477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:07.0042942 1613506447.004294157 1613506447.004294395 -0.000000477, ltcy: 0.14 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:08.0045303 1613506448.004530430 1613506448.004530191 +0.000000000, ltcy: 0.27 us, exec: 0.20 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-16 20:14:09.0047992 1613506449.004799366 1613506449.004799366 +0.000000000, ltcy: 0.09 us, exec: 0.04 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:10.0050339 1613506450.005033970 1613506450.005033731 +0.000000000, ltcy: 0.28 us, exec: 0.19 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:11.0053100 1613506451.005310059 1613506451.005310297 -0.000000238, ltcy: 0.09 us, exec: 0.04 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:12.0055337 1613506452.005533695 1613506452.005533934 -0.000000238, ltcy: 0.10 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:13.0057154 1613506453.005715609 1613506453.005715609 -0.000000238, ltcy: 0.12 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:14.0058959 1613506454.005895853 1613506454.005896091 -0.000000477, ltcy: 0.13 us, exec: 0.05 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:15.0061104 1613506455.006110430 1613506455.006110668 -0.000000238, ltcy: 0.11 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:16.0064309 1613506456.006430864 1613506456.006431103 -0.000000238, ltcy: 0.10 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:17.0066531 1613506457.006653070 1613506457.006652832 +0.000000000, ltcy: 0.27 us, exec: 0.20 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:18.0069350 1613506458.006935120 1613506458.006935120 +0.000000000, ltcy: 0.09 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:19.0071182 1613506459.007118225 1613506459.007118225 -0.000000238, ltcy: 0.13 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:20.0074651 1613506460.007465124 1613506460.007465124 +0.000000000, ltcy: 0.10 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:21.0076726 1613506461.007672787 1613506461.007672548 +0.000000238, ltcy: 0.11 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:22.0078979 1613506462.007897854 1613506462.007897854 +0.000000000, ltcy: 0.11 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:23.0081353 1613506463.008135319 1613506463.008134842 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-16 20:14:24.0084109 1613506464.008410931 1613506464.008410931 +0.000000000, ltcy: 0.09 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:25.0085870 1613506465.008587122 1613506465.008587122 +0.000000000, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:26.0087679 1613506466.008767843 1613506466.008767843 +0.000000000, ltcy: 0.11 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:27.0089813 1613506467.008981466 1613506467.008980751 +0.000000477, ltcy: 0.27 us, exec: 0.20 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:28.0092925 1613506468.009292603 1613506468.009292126 +0.000000238, ltcy: 0.27 us, exec: 0.20 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:29.0095987 1613506469.009598732 1613506469.009598255 +0.000000238, ltcy: 0.27 us, exec: 0.21 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:30.0099261 1613506470.009926081 1613506470.009926081 +0.000000000, ltcy: 0.09 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:31.0101014 1613506471.010101557 1613506471.010101318 +0.000000238, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:32.0103443 1613506472.010344267 1613506472.010343790 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:33.0106905 1613506473.010690689 1613506473.010689974 +0.000000477, ltcy: 0.29 us, exec: 0.20 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:34.0110711 1613506474.011071205 1613506474.011070490 +0.000000477, ltcy: 0.28 us, exec: 0.20 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:35.0113879 1613506475.011388063 1613506475.011387348 +0.000000477, ltcy: 0.26 us, exec: 0.20 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:36.0117088 1613506476.011708975 1613506476.011708736 +0.000000238, ltcy: 0.09 us, exec: 0.05 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:37.0118806 1613506477.011880636 1613506477.011880636 -0.000000238, ltcy: 0.12 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:38.0121273 1613506478.012127399 1613506478.012126923 +0.000000238, ltcy: 0.28 us, exec: 0.19 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:39.0124167 1613506479.012416840 1613506479.012416124 +0.000000477, ltcy: 0.27 us, exec: 0.26 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-16 20:14:40.0127571 1613506480.012757063 1613506480.012756586 +0.000000238, ltcy: 0.27 us, exec: 0.19 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:41.0130736 1613506481.013073683 1613506481.013073206 +0.000000238, ltcy: 0.27 us, exec: 0.19 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:42.0133432 1613506482.013343334 1613506482.013343096 +0.000000238, ltcy: 0.09 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:43.0135337 1613506483.013533831 1613506483.013533592 +0.000000000, ltcy: 0.13 us, exec: 0.11 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:44.0137953 1613506484.013795376 1613506484.013795137 +0.000000000, ltcy: 0.12 us, exec: 0.07 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:45.0140022 1613506485.014002323 1613506485.014002085 +0.000000000, ltcy: 0.12 us, exec: 0.04 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:46.0143646 1613506486.014364719 1613506486.014364004 +0.000000477, ltcy: 0.28 us, exec: 0.21 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-16 20:14:47.0147021 1613506487.014702082 1613506487.014701366 +0.000000477, ltcy: 0.29 us, exec: 0.22 us, limit: 0.13 us, leap: 00
GNS181PEX: 2021-02-16 20:14:48.0149765 1613506488.014976501 1613506488.014976025 +0.000000238, ltcy: 0.28 us, exec: 0.18 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:49.0152309 1613506489.015230894 1613506489.015230656 +0.000000238, ltcy: 0.12 us, exec: 0.07 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:50.0154259 1613506490.015425920 1613506490.015425682 +0.000000000, ltcy: 0.12 us, exec: 0.07 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:51.0157329 1613506491.015733004 1613506491.015732288 +0.000000477, ltcy: 0.26 us, exec: 0.20 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:52.0160507 1613506492.016050816 1613506492.016050100 +0.000000477, ltcy: 0.25 us, exec: 0.21 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:53.0163230 1613506493.016323090 1613506493.016322374 +0.000000477, ltcy: 0.26 us, exec: 0.20 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:54.0165779 1613506494.016577959 1613506494.016577482 +0.000000238, ltcy: 0.36 us, exec: 0.07 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:55.0167899 1613506495.016789913 1613506495.016789675 +0.000000238, ltcy: 0.11 us, exec: 0.05 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:56.0170567 1613506496.017056704 1613506496.017056227 +0.000000000, ltcy: 0.36 us, exec: 0.20 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:57.0173812 1613506497.017381191 1613506497.017380714 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:58.0176926 1613506498.017692566 1613506498.017692089 +0.000000238, ltcy: 0.26 us, exec: 0.21 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:59.0179979 1613506499.017997980 1613506499.017997503 +0.000000238, ltcy: 0.25 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:00.0183196 1613506500.018319607 1613506500.018319368 +0.000000000, ltcy: 0.20 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:01.0186754 1613506501.018675327 1613506501.018675327 -0.000000238, ltcy: 0.13 us, exec: 0.07 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:02.0189615 1613506502.018961430 1613506502.018960953 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:03.0192858 1613506503.019285917 1613506503.019284964 +0.000000477, ltcy: 0.57 us, exec: 0.20 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:04.0201556 1613506504.020155668 1613506504.020154953 +0.000000238, ltcy: 0.41 us, exec: 0.46 us, limit: 0.16 us, leap: 00
GNS181PEX: 2021-02-16 20:15:05.0205546 1613506505.020554781 1613506505.020554066 +0.000000477, ltcy: 0.25 us, exec: 0.21 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:06.0208704 1613506506.020870447 1613506506.020869970 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:07.0211271 1613506507.021127224 1613506507.021126986 +0.000000000, ltcy: 0.13 us, exec: 0.08 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:08.0213595 1613506508.021359682 1613506508.021359205 +0.000000238, ltcy: 0.28 us, exec: 0.24 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:09.0216629 1613506509.021662951 1613506509.021662474 +0.000000238, ltcy: 0.27 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
