
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-16 20:13:30.4326883 1613506410.432688236 1613506410.432687044 +0.000000954, ltcy: 0.24 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:31.4329208 1613506411.432920933 1613506411.432919741 +0.000000954, ltcy: 0.25 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:32.4332337 1613506412.433233738 1613506412.433232784 +0.000000954, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:33.4334231 1613506413.433423042 1613506413.433421850 +0.000000954, ltcy: 0.29 us, exec: 0.08 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:34.4336961 1613506414.433696032 1613506414.433695078 +0.000000954, ltcy: 0.11 us, exec: 0.15 us, limit: 0.08 us, leap: 00
GNS181PEX: 2021-02-16 20:13:35.4339730 1613506415.433973074 1613506415.433971643 +0.000001192, ltcy: 0.14 us, exec: 0.20 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-16 20:13:36.4343455 1613506416.434345484 1613506416.434344292 +0.000001192, ltcy: 0.10 us, exec: 0.05 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:37.4345435 1613506417.434543610 1613506417.434541941 +0.000001431, ltcy: 0.15 us, exec: 0.05 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:38.4348880 1613506418.434888124 1613506418.434886694 +0.000001431, ltcy: 0.10 us, exec: 0.05 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:39.4350653 1613506419.435065269 1613506419.435063839 +0.000001192, ltcy: 0.21 us, exec: 0.04 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:40.4352559 1613506420.435256004 1613506420.435254574 +0.000001192, ltcy: 0.18 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:41.4355327 1613506421.435532808 1613506421.435531616 +0.000001192, ltcy: 0.11 us, exec: 0.04 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:42.4357167 1613506422.435716867 1613506422.435715675 +0.000000954, ltcy: 0.14 us, exec: 0.04 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:43.4359281 1613506423.435928106 1613506423.435926914 +0.000000954, ltcy: 0.14 us, exec: 0.16 us, limit: 0.08 us, leap: 00
GNS181PEX: 2021-02-16 20:13:44.4362887 1613506424.436288834 1613506424.436287642 +0.000001192, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:45.4364626 1613506425.436462641 1613506425.436461210 +0.000001192, ltcy: 0.14 us, exec: 0.04 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:46.4366794 1613506426.436679363 1613506426.436677694 +0.000001192, ltcy: 0.57 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:47.4370381 1613506427.437038183 1613506427.437036753 +0.000001192, ltcy: 0.15 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:48.4373786 1613506428.437378645 1613506428.437377214 +0.000001192, ltcy: 0.13 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:49.4376703 1613506429.437670231 1613506429.437669039 +0.000001192, ltcy: 0.10 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:50.4379879 1613506430.437988043 1613506430.437986374 +0.000001431, ltcy: 0.24 us, exec: 0.14 us, limit: 0.07 us, leap: 00
GNS181PEX: 2021-02-16 20:13:51.4383134 1613506431.438313484 1613506431.438312292 +0.000001192, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:52.4385118 1613506432.438511848 1613506432.438510656 +0.000000954, ltcy: 0.14 us, exec: 0.09 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:53.4387844 1613506433.438784361 1613506433.438783169 +0.000000954, ltcy: 0.18 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:54.4390512 1613506434.439051151 1613506434.439049721 +0.000001192, ltcy: 0.17 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:55.4392413 1613506435.439241409 1613506435.439239979 +0.000001431, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:56.4395389 1613506436.439538956 1613506436.439537525 +0.000001431, ltcy: 0.11 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:57.4397656 1613506437.439765692 1613506437.439764023 +0.000001431, ltcy: 0.16 us, exec: 0.04 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:58.4399614 1613506438.439961433 1613506438.439959764 +0.000001431, ltcy: 0.23 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:59.4402416 1613506439.440241575 1613506439.440240145 +0.000001431, ltcy: 0.11 us, exec: 0.18 us, limit: 0.07 us, leap: 00
GNS181PEX: 2021-02-16 20:14:00.4405254 1613506440.440525532 1613506440.440523863 +0.000001431, ltcy: 0.12 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:01.4408500 1613506441.440850019 1613506441.440848589 +0.000001192, ltcy: 0.13 us, exec: 0.19 us, limit: 0.08 us, leap: 00
GNS181PEX: 2021-02-16 20:14:02.4411430 1613506442.441143036 1613506442.441141605 +0.000001431, ltcy: 0.10 us, exec: 0.05 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:03.4413662 1613506443.441366196 1613506443.441364765 +0.000001431, ltcy: 0.10 us, exec: 0.05 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:04.4415941 1613506444.441594124 1613506444.441592693 +0.000001431, ltcy: 0.12 us, exec: 0.04 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:05.4418031 1613506445.441803217 1613506445.441801071 +0.000001907, ltcy: 0.32 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:06.4421737 1613506446.442173719 1613506446.442172050 +0.000001431, ltcy: 0.17 us, exec: 0.14 us, limit: 0.07 us, leap: 00
GNS181PEX: 2021-02-16 20:14:07.4424482 1613506447.442448139 1613506447.442446709 +0.000001192, ltcy: 0.12 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:08.4426759 1613506448.442675829 1613506448.442674637 +0.000001192, ltcy: 0.09 us, exec: 0.04 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:09.4428761 1613506449.442876101 1613506449.442874908 +0.000000954, ltcy: 0.34 us, exec: 0.15 us, limit: 0.07 us, leap: 00
