
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-17 15:03:43.2391777 1613574223.239177704 1613574223.239177704 +0.000000000, ltcy: 0.11 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:44.2393580 1613574224.239358187 1613574224.239357948 +0.000000238, ltcy: 0.11 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:45.2395695 1613574225.239569664 1613574225.239569426 +0.000000238, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:46.2397629 1613574226.239763021 1613574226.239762783 +0.000000000, ltcy: 0.17 us, exec: 0.10 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:47.2410739 1613574227.241074085 1613574227.241073847 +0.000000238, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:48.2412786 1613574228.241278648 1613574228.241278648 +0.000000000, ltcy: 0.11 us, exec: 0.09 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:49.2415417 1613574229.241541862 1613574229.241541624 +0.000000238, ltcy: 0.12 us, exec: 0.15 us, limit: 0.08 us, leap: 00
GNS181PEX: 2021-02-17 15:03:50.2417568 1613574230.241756916 1613574230.241756678 +0.000000000, ltcy: 0.19 us, exec: 0.13 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:51.2419782 1613574231.241978168 1613574231.241978168 +0.000000000, ltcy: 0.11 us, exec: 0.06 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:52.2422413 1613574232.242241383 1613574232.242241383 +0.000000000, ltcy: 0.12 us, exec: 0.07 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:53.2424496 1613574233.242449760 1613574233.242449760 +0.000000000, ltcy: 0.11 us, exec: 0.07 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:54.2426687 1613574234.242668629 1613574234.242668629 -0.000000238, ltcy: 0.13 us, exec: 0.09 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:55.2428641 1613574235.242864132 1613574235.242864132 -0.000000238, ltcy: 0.13 us, exec: 0.07 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:56.2430627 1613574236.243062735 1613574236.243062735 -0.000000238, ltcy: 0.15 us, exec: 0.05 us, limit: 0.08 us, leap: 00 *
