
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-17 15:03:16.3742537 1613574196.374253750 1613574196.374348640 -0.000094891, ltcy: 0.09 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:17.3744201 1613574197.374420166 1613574197.374515057 -0.000095129, ltcy: 0.14 us, exec: 0.11 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:18.3746139 1613574198.374614000 1613574198.374709129 -0.000095367, ltcy: 0.13 us, exec: 0.13 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:19.3748055 1613574199.374805450 1613574199.374901056 -0.000095844, ltcy: 0.15 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:20.3749959 1613574200.374995947 1613574200.375091553 -0.000095844, ltcy: 0.15 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:21.3752069 1613574201.375206947 1613574201.375302792 -0.000096083, ltcy: 0.16 us, exec: 0.09 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:22.3753940 1613574202.375394106 1613574202.375490189 -0.000096321, ltcy: 0.13 us, exec: 0.07 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:23.3755771 1613574203.375577211 1613574203.375673532 -0.000096560, ltcy: 0.13 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:24.3757604 1613574204.375760555 1613574204.375856876 -0.000096560, ltcy: 0.13 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:25.3759474 1613574205.375947475 1613574205.376044035 -0.000096798, ltcy: 0.14 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:26.3761343 1613574206.376134396 1613574206.376231194 -0.000097036, ltcy: 0.14 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:27.3763218 1613574207.376321793 1613574207.376418829 -0.000097275, ltcy: 0.14 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:28.3765049 1613574208.376504898 1613574208.376602173 -0.000097513, ltcy: 0.13 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
