
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-17 18:16:54.7904182 1613585814.790418148 1613585814.790237665 +0.000180483, ltcy: 0.12 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:55.7906949 1613585815.790694952 1613585815.790514469 +0.000180483, ltcy: 0.11 us, exec: 0.07 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:56.7909925 1613585816.790992498 1613585816.790811777 +0.000180721, ltcy: 0.11 us, exec: 0.16 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:57.7914255 1613585817.791425467 1613585817.791244745 +0.000180721, ltcy: 0.11 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:58.7917006 1613585818.791700602 1613585818.791519642 +0.000180960, ltcy: 0.11 us, exec: 0.14 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:59.7919253 1613585819.791925430 1613585819.791744232 +0.000181198, ltcy: 0.10 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:00.7921525 1613585820.792152643 1613585820.791971207 +0.000181437, ltcy: 0.11 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:01.7923825 1613585821.792382479 1613585821.792201042 +0.000181437, ltcy: 0.11 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:02.7927736 1613585822.792773724 1613585822.792592049 +0.000181675, ltcy: 0.11 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:03.7931559 1613585823.793155909 1613585823.792974234 +0.000181675, ltcy: 0.11 us, exec: 0.15 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:04.7934220 1613585824.793421984 1613585824.793240070 +0.000181913, ltcy: 0.11 us, exec: 0.12 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:05.7936774 1613585825.793677568 1613585825.793495178 +0.000182390, ltcy: 0.10 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:06.7938711 1613585826.793871164 1613585826.793688774 +0.000182390, ltcy: 0.11 us, exec: 0.13 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:07.7940998 1613585827.794099808 1613585827.793917418 +0.000182390, ltcy: 0.11 us, exec: 0.07 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:08.7943036 1613585828.794303656 1613585828.794121027 +0.000182629, ltcy: 0.11 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:09.7945462 1613585829.794546366 1613585829.794363499 +0.000182867, ltcy: 0.11 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:10.7947907 1613585830.794790745 1613585830.794607639 +0.000183105, ltcy: 0.11 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:11.7949815 1613585831.794981480 1613585831.794798374 +0.000183105, ltcy: 0.10 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:12.7954301 1613585832.795430183 1613585832.795246840 +0.000183344, ltcy: 0.11 us, exec: 0.14 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:13.7958519 1613585833.795851946 1613585833.795668364 +0.000183582, ltcy: 0.10 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
